[File]
VBOX202410301214310001, Whole Session.csv
[Information]
2025-01-07T04:09:53.0838173Z
[Unit]
num,state,state,state,state,hh:mm:ss.ss,ddd°mmm.mmmmm',ddd°mmm.mmmmm',km/h,deg,m,km/h,,num,hh:mm:ss.ss,hh:mm:ss.ss,g,(null),m,s,g,g,g
[Column name]
Satellites,BrakeTrigger,DGPS,Rtk,WavFile,Time,Latitude,Longitude,Velocity,Heading,Height,Vertical_velocity,Solution_Type,AviFileIndex,AviSyncTime,sampleperiod,ComboAcc,Combo_G,Distance,ElapsedTimeSeconds,CombinedAcceleration,LateralAcceleration,LongitudinalAcceleration
016,0,0,0,0,01:14:32.80,33°0016.66986000 S,148°0046.02184200 W,028.145,279.59,+00500.280,000.259,001,0001,-000000001,00:00:00.04,+1.377582E-01,1.377582E-01,00000.000,0.000000,+00.071,+00.049,+00.051,
016,0,0,0,0,01:14:32.84,33°0016.66983600 S,148°0046.02164400 W,028.217,279.45,+00500.270,000.259,001,0001,-000000001,00:00:00.04,+9.420365E-02,9.420365E-02,00000.314,0.040000,+00.071,+00.049,+00.051,
016,0,0,0,0,01:14:32.88,33°0016.66980600 S,148°0046.02144000 W,028.339,279.39,+00500.270,000.259,001,0001,-000000001,00:00:00.04,+9.057775E-02,9.057775E-02,00000.628,0.080000,+00.088,+00.019,+00.086,
016,0,0,0,0,01:14:32.92,33°0016.66977600 S,148°0046.02124200 W,028.368,279.42,+00500.270,000.259,001,0001,-000000001,00:00:00.04,+5.546559E-02,5.546559E-02,00000.943,0.120000,+00.022,-00.008,+00.021,
016,0,0,0,0,01:14:32.96,33°0016.66975200 S,148°0046.02103800 W,028.616,279.49,+00500.270,000.259,001,0001,-000000001,00:00:00.04,+1.156940E-01,1.156940E-01,00001.259,0.160000,+00.177,-00.024,+00.176,
016,0,0,0,0,01:14:33.00,33°0016.66972200 S,148°0046.02083400 W,028.692,279.47,+00500.270,000.259,001,0001,-000000001,00:00:00.04,+8.460779E-02,8.460779E-02,00001.578,0.200000,+00.054,+00.005,+00.054,
016,0,0,0,0,01:14:33.04,33°0016.66969200 S,148°0046.02063000 W,028.728,279.50,+00500.270,000.259,001,0001,-000000001,00:00:00.04,+5.511161E-02,5.511161E-02,00001.897,0.240000,+00.027,-00.008,+00.025,
016,0,0,0,0,01:14:33.08,33°0016.66966200 S,148°0046.02042600 W,028.861,279.56,+00500.270,000.259,001,0001,-000000001,00:00:00.04,+7.496458E-02,7.496458E-02,00002.217,0.280000,+00.097,-00.022,+00.094,
016,0,0,0,0,01:14:33.12,33°0016.66963800 S,148°0046.02021600 W,029.045,279.49,+00500.270,000.259,001,0001,-000000001,00:00:00.04,+1.023518E-01,1.023518E-01,00002.538,0.320000,+00.132,+00.022,+00.130,
016,0,0,0,0,01:14:33.16,33°0016.66960800 S,148°0046.02001200 W,029.221,279.45,+00500.270,000.259,001,0001,-000000001,00:00:00.04,+1.136682E-01,1.136682E-01,00002.862,0.360000,+00.126,+00.017,+00.125,
016,0,0,0,0,01:14:33.20,33°0016.66957800 S,148°0046.01980200 W,029.246,279.33,+00500.260,000.259,001,0001,-000000001,00:00:00.04,+6.654945E-02,6.654945E-02,00003.187,0.400000,+00.044,+00.040,+00.018,
016,0,0,0,0,01:14:33.24,33°0016.66954800 S,148°0046.01959200 W,029.372,279.54,+00500.270,000.259,001,0001,-000000001,00:00:00.04,+7.777628E-02,7.777628E-02,00003.513,0.440000,+00.117,-00.076,+00.089,
016,0,0,0,0,01:14:33.28,33°0016.66951800 S,148°0046.01938200 W,029.430,279.54,+00500.270,000.259,001,0001,-000000001,00:00:00.04,+5.937251E-02,5.937251E-02,00003.839,0.480000,+00.041,+00.001,+00.041,
016,0,0,0,0,01:14:33.32,33°0016.66948800 S,148°0046.01917800 W,029.488,279.58,+00500.260,000.259,001,0001,-000000001,00:00:00.04,+5.048746E-02,5.048746E-02,00004.167,0.520000,+00.044,-00.015,+00.041,
016,0,0,0,0,01:14:33.36,33°0016.66945800 S,148°0046.01896200 W,029.646,279.55,+00500.260,000.259,001,0001,-000000001,00:00:00.04,+8.114588E-02,8.114588E-02,00004.495,0.560000,+00.112,+00.011,+00.112,
016,0,0,0,0,01:14:33.40,33°0016.66942800 S,148°0046.01875200 W,029.768,279.56,+00500.260,000.259,001,0001,-000000001,00:00:00.04,+8.393634E-02,8.393634E-02,00004.825,0.600000,+00.086,-00.002,+00.086,
016,0,0,0,0,01:14:33.44,33°0016.66939800 S,148°0046.01854200 W,029.869,279.56,+00500.250,000.389,001,0001,-000000001,00:00:00.04,+7.767634E-02,7.767634E-02,00005.156,0.640000,+00.072,-00.001,+00.072,
016,0,0,0,0,01:14:33.48,33°0016.66936800 S,148°0046.01832600 W,029.934,279.59,+00500.250,000.389,001,0001,-000000001,00:00:00.04,+6.192600E-02,6.192600E-02,00005.489,0.680000,+00.047,-00.011,+00.046,
016,0,0,0,0,01:14:33.52,33°0016.66933800 S,148°0046.01811600 W,030.107,279.55,+00500.260,000.259,001,0001,-000000001,00:00:00.04,+9.206481E-02,9.206481E-02,00005.822,0.720000,+00.123,+00.014,+00.123,
016,0,0,0,0,01:14:33.56,33°0016.66930800 S,148°0046.01790000 W,030.175,279.29,+00500.260,000.259,001,0001,-000000001,00:00:00.04,+7.283866E-02,7.283866E-02,00006.157,0.760000,+00.111,+00.100,+00.048,
016,0,0,0,0,01:14:33.60,33°0016.66927800 S,148°0046.01768400 W,030.154,279.27,+00500.260,000.259,001,0001,-000000001,00:00:00.04,+3.205876E-02,3.205876E-02,00006.492,0.800000,+00.016,+00.006,-00.015,
